HGNC symbol,Chromosome Name,Gene Start (bp),Gene End (bp)
CLEC17A,19,14693896,14721969
CDRT1,17,15468798,15522826
FZD3,8,28351729,28431775
LRRC14,8,145743376,145750557
NDUFA7,19,8373167,8386263
PAPLN,14,73704205,73741348
ZNF586,19,58280997,58331307
TAF8,6,42018251,42055199
EPHA2,1,16450832,16482582
PCYOX1L,5,148737570,148749216
TBCB,19,36605191,36616849
SUPV3L1,10,70939988,70968855
NAT16,7,100813774,100823557
EXTL3,8,28457986,28613116
MICA,HSCHR6_MHC_QBL,31357610,31374165
TMEM14E,3,152057484,152058779
P2RY1,3,152552736,152555841
EVA1B,1,36787632,36789755
RAP2B,3,152880029,152886265
KCNJ3,2,155554811,155714863
DMBT1,10,124320181,124403252
C3orf79,3,153202284,153220486
PREPL,2,44543420,44589001
EXOC5,14,57670518,57735726
KCNB1,20,47984946,48099184
ARHGEF26,3,153838792,153975616
STK40,1,36805225,36851497
AGBL5,2,27265232,27293490
SLC4A5,2,74443369,74570541
MOGAT3,7,100838288,100844302
PTGIS,20,48123992,48184683
DOLK,9,131707809,131709898
CHRNA1,2,175612320,175629200
PLEKHO1,1,150121373,150132260
NUP188,9,131709978,131769375
TMCO5A,15,38214140,38259925
FKBPL,HSCHR6_MHC_DBB,32072259,32073843
PRRT1,HSCHR6_MHC_DBB,32091910,32097926
CCL5,17,34198495,34207797
CAPNS1,19,36630477,36641255
C6orf132,6,42068856,42110357
IDO1,8,39759794,39785963
NR4A2,2,157180944,157198860
CGB1,19,49538826,49552006
WWC2,4,184020446,184241930
POLR2K,8,101162812,101166230
SOST,17,41831099,41836156
SH3BGRL3,1,26605667,26608007
PHKG2,16,30759591,30772490
ARHGEF19,1,16524349,16539140
DLG5,10,79550549,79686378
DUSP3,17,41843489,41856356
CGB5,19,49547141,49548568
LY6G6C,HSCHR6_MHC_SSTO,31676384,31679581
TFEC,7,115575202,115799950
SLC18B1,6,133090509,133119701
SPAG1,8,101170134,101271506
INTS9,8,28625178,28747759
SLC35A2,X,48760459,48769235
LRRC36,16,67360701,67419106
UBXN11,1,26607819,26644854
ZNF552,19,58315209,58326281
ZNF611,19,53206066,53238326
BAG6,HSCHR6_MHC_MCF,31683095,31696765
NAP1L3,X,92925929,92928567
FAM133A,X,92929012,92967273
C17orf105,17,41857803,41864980
HMGN1P20,10,19778030,19778329
TRIM47,17,73870242,73874656
FAM109A,12,111798339,111806925
VPS39,15,42450899,42500514
RNF19A,8,101269288,101348446
ALKBH3,11,43902361,43941816
COX7A1,19,36641824,36643771
DHX36,3,153990335,154042286
TRIM16,17,15531274,15587625
TRIM65,17,73876416,73893084
RELB,19,45504688,45541452
IL17B,5,148750887,148783765
GUCA1A,6,42123144,42147794
HAGHL,16,776936,785525
B4GALT5,20,48249482,48330415
C7orf26,7,6629648,6648357
CNBP,3,128888327,128902765
ZNF565,19,36673188,36737159
MRPL38,17,73894724,73905899
CSNK1A1,5,148871760,148931007
SLC9A8,20,48429250,48508779
KIF5B,10,32297938,32345359
RPS28,19,8386042,8388186
BTD,3,15642848,15687329
CLASRP,19,45542298,45574214
MAP1B,5,71403061,71505395
ZNF146,19,36705504,36729676
PRKCQ,10,6469105,6622263
ANKRD46,8,101521980,101572012
ADRA2C,4,3768075,3770251
ZNF214,11,7020549,7041599
ZFP14,19,36827162,36870101
SULF1,8,70378859,70573150
SLC35F5,2,114462588,114514400
ZFP82,19,36874022,36909558
AGXT2,5,34998206,35048198
NPFF,12,53900472,53902004
PGM3,6,83870869,83903655
CGB8,19,49550895,49552400
SPRED1,15,38544527,38649450
TRAPPC2L,16,88922628,88929094
ANP32E,1,150190717,150208504
PTTG2,4,37962056,37962746
SNRNP48,6,7590432,7612091
MTND2P16,10,20036752,20037550
GRIN3B,19,1000418,1009731
CGB7,19,49557531,49562117
ZNF566,19,36936021,36980804
CHN1,2,175664091,175870097
KLF3,4,38665817,38702663
GGT6,17,4460222,4464113
LSM10,1,36856839,36863493
FAM98B,15,38746328,38779911
DGAT2L7P,7,100845043,100846556
PLOD3,7,100849258,100861701
C2CD4A,15,62359176,62363116
NTF4,19,49559050,49568333
OSCP1,1,36881428,36916086
CCDC134,22,42196683,42222303
BMP6,6,7727030,7881655
TLR10,4,38773860,38784611
C19orf6,19,1006168,1021117
EMR3,19,14729929,14800839
SH2B3,12,111843752,111889427
KCNA7,19,49570675,49576198
PMFBP1,16,72146056,72210777
RASGRP1,15,38780304,38857776
PIM2,X,48770459,48776301
TXNDC5,6,7881483,8026646
SNRNP70,19,49588676,49611862
ADSSL1,14,105190523,105213662
C2CD4B,15,62455734,62457482
DNASE1L3,3,58177984,58200424
TLN2,15,62682725,63136830
DIAPH2,X,95939662,96859996
SREBF2,22,42229109,42303312
NCBP1,9,100395908,100436030
LURAP1,1,46669006,46686933
ATF7,12,53901640,54020199
CSNK1G3,5,122847793,122952739
RAD54L,1,46713360,46744145
NLRP14,11,7041677,7092539
RSG1,1,16555170,16563495
AGTPBP1,9,88161455,88356944
CA14,1,150230169,150237478
ZNF260,19,37001597,37019562
ZNF600,19,53267448,53290044
C1orf134,1,16555368,16556038
RBMXL2,11,7110165,7112379
FBXO42,1,16573334,16678949
SYT9,11,7260099,7490273
BLM,15,91260558,91358859
LYRM9,17,26205386,26221778
COPG1,3,128968449,128996614
STT3A,11,125461607,125495110
ZNF529,19,37025676,37096178
TBC1D10C,11,67171386,67177560
SZRD1,1,16679070,16724640
TES,7,115850547,115898837
OLFML1,11,7506619,7532608
LDHC,11,18433854,18473605
PAIP2,5,138677276,138705406
CLDN22,4,184239220,184241927
FBF1,17,73905655,73937221
OTUD5,X,48779305,48815648
CLDN24,4,184242917,184243579
CCDC54,3,107096188,107097481
RPS15A,16,18792617,18801705
DDAH2,HSCHR6_MHC_SSTO,31684774,31688353
ZNF382,19,37095719,37119499
BBX,3,107241783,107530171
ZNF587B,19,58331099,58370018
HKDC1,10,70980059,71027315
ZNF853,7,6655248,6663921
MPP3,17,41878167,41910538
RPS12,6,133135580,133138703
ACTR3,2,114647537,114720173
GPD2,2,157291802,157470247
SCYL2,12,100660918,100735502
GUCA1B,6,42152139,42162654
ZNF461,19,37128094,37157755
IDO2,8,39792133,39873910
KANK3,19,8387468,8408146
SNX31,8,101585116,101675643
IFFO1,12,6647541,6665239
CEP55,10,95256389,95288849
SPATA21,1,16713612,16763919
MRPS27,5,71515236,71616473
HMBOX1,8,28747911,28922281
NLK,17,26368763,26523407
NCKAP5L,12,50184929,50222533
MICB,HSCHR6_MHC_QBL,31456185,31469201
CDKN2AIP,4,184365744,184369351
GSG1,12,13236494,13256619
C8orf4,8,40010989,40012821
ZNF567,19,37178514,37218603
ZMAT4,8,40388109,40755352
APH1A,1,150237804,150241980
EYA4,6,133561736,133853258
ZNF28,19,53300662,53360853
ANKIB1,7,91875548,92030698
SFMBT2,10,7200586,7453450
BCDIN3D,12,50231573,50236912
AVPR2,X,153167985,153172620
NARFL,16,779753,791329
MPHOSPH9,12,123636867,123728561
PPFIBP2,11,7534529,7678358
ZNF296,19,45574758,45579846
SPATA2,20,48519928,48532080
ARHGEF37,5,148931510,149014531
LDHAL6A,11,18477371,18501147
ZNF468,19,53341261,53360902
ZNF814,19,58360099,58400442
NECAP2,1,16767167,16786573
PPT2,HSCHR6_MHC_DBB,32096994,32101885
CIDEC,3,9908398,9921938
RNF114,20,48552948,48570429
OTOP1,4,4190530,4228616
SFRP1,8,41119481,41167016
ZNF850,19,37205285,37263727
TLR1,4,38792298,38858438
TMEM128,4,4237269,4249950
ZNF790,19,37308330,37341689
MRPS15,1,36921319,36930038
FAIM2,12,50260679,50298000
MTND1P21,10,21093222,21093506
ZNF587,19,58361228,58376485
RPA4,X,96138907,96140446
FCN2,9,137772654,137779924
PCDH19,X,99546642,99665271
SHISA8,22,42307297,42310570
PIAS4,19,4007644,4039384
MUC5AC,11,1151580,1222364
ATF2,2,175936978,176033110
SIVA1,14,105219437,105234831
NUDCD3,7,44421969,44530479
TNFRSF13C,22,42321045,42322822
KIF13B,8,28924796,29120641
DPP10,2,115199876,116603328
LYAR,4,4269428,4291896
LRRC41,1,46726868,46769280
CARNS1,11,67182439,67193078
ZNF345,19,37341263,37403931
CENPM,22,42334725,42343168
ARHGAP4,X,153172821,153200452
SLC23A1,5,138702885,138720242
GOLGA7,8,41347915,41368499
MRPS10,6,42174539,42185603
SHC4,15,49115932,49255641
DDX52,17,35969787,36003493
DOM3Z,6,31937587,31940069
LRRC59,17,48452420,48474914
ZFHX3,16,72816784,73093597
ZNF829,19,37379026,37407193
ZNF333,19,14800613,14844558
GEMIN7,19,45582453,45594782
CD52,1,26644448,26647014
POTED,21,14982498,15013906
C16orf93,16,30768744,30774031
AIM1L,1,26648350,26680621
PXDN,2,1635659,1748624
EMP1,12,13349650,13369708
ZNF417,19,58411664,58427978
LIPI,21,15481134,15583166
RNF169,11,74459913,74553458
SNAI1,20,48599536,48605423
MARK4,19,45582546,45808541
ACSF2,17,48503519,48552206
TSG101,11,18489883,18548779
TMEM189-UBE2V1,20,48697661,48770174
ACOX1,17,73937588,73975515
ZNF568,19,37407231,37489602
EIF4BP2,10,21317928,21319721
PABPN1L,16,88928034,88933068
UBE2V1,20,48697661,48732496
ANKRD28,3,15708743,15901278
CD300LG,17,41924516,41940997
ZNF12,7,6728064,6746554
MCCD1,HSCHR6_MHC_QBL,31486778,31488293
CPNE2,16,57126449,57181878
BLOC1S5,6,8013800,8064647
FCN1,9,137801431,137809809
TCF19,HSCHR6_MHC_COX,31118872,31124541
C15orf53,15,38988799,38992239
O3FAR1,10,95326422,95349829
C15orf54,15,39542885,39547046
DCTN1,2,74588281,74619214
TNMD,X,99839799,99854882
THBS1,15,39873280,39891667
ZBTB49,4,4291924,4323513
LIN7B,19,49617581,49621717
ING2,4,184426147,184432249
TRERF1,6,42192669,42419789
ZNF286A,17,15602891,15640874
CLIC1,HSCHR6_MHC_SSTO,31688317,31697500
C11orf96,11,43946892,43965888
ANGPTL4,19,8428173,8439257
UQCRH,1,46769303,46782448
NUMB,14,73741815,73930348
CBFA2T3,16,88941266,89043612
TMEM87A,15,42502730,42565861
ZNF420,19,37498759,37621216
RWDD4,4,184560788,184580378
ZNF320,19,53367043,53400946
ZNF418,19,58433252,58446761
ZNF683,1,26688125,26701013
ZNF608,5,123972608,124084500
KCND1,X,48818639,48827976
RWDD2A,6,83903098,83906382
MST1L,1,17081405,17096732
PPARGC1B,5,149109861,149234585
TPPP3,16,67423712,67427438
ZNF585A,19,37583921,37697976
JAGN1,3,9932238,9936033
GRIPAP1,X,48830134,48858675
GPR149,3,154055461,154147504
MUC5B,11,1244296,1283406
FYN,6,111981535,112194655
CSF3R,1,36931644,36948879
C19orf73,19,49621655,49622397
AKT1,14,105235686,105262088
SLC17A8,12,100750857,100815808
PPFIA3,19,49622663,49654278
CROCC,1,17222232,17299459
MME,3,154741913,154901497
SGIP1,1,66999066,67213982
C1orf54,1,150240600,150253327
ME1,6,83920108,84140797
PRLR,5,35048861,35230794
RNF40,16,30773066,30787628
RPGRIP1,14,21756098,21819460
PABPC1,8,101698044,101735037
EID1,15,49170083,49172380
OLFM1,9,137967268,138013025
HRC,19,49654455,49658681
GATAD1,7,92076767,92088150
DDX39B,HSCHR6_MHC_QBL,31488280,31504633
ZNF585B,19,37672481,37709055
ACCSL,11,44069531,44081527
SECISBP2L,15,49280673,49338760
ERVW-1,7,92097695,92100738
PEX1,7,92116334,92157845
IL17RE,3,9944296,9958086
LIN28A,1,26737269,26756213
TMEM97,17,26646121,26655707
LINC00636,3,107602095,107647754
C1orf51,1,150254953,150259505
RBP4,10,95351444,95361501
TRPM4,19,49660998,49715093
MZB1,5,138723169,138725770
ABHD6,3,58223233,58281420
JPH4,14,24037244,24048009
IFT20,17,26655352,26662515
ZDHHC1,16,67428322,67450736
C12orf36,12,13524023,13540101
ATP5G2,12,54026510,54071192
GRIN2B,12,13714144,14133053
SMTNL2,17,4487294,4511614
GALNT5,2,158114110,158170723
EEF1E1,6,8073593,8102811
TEN1,17,73975301,73996667
C3orf37,3,128997671,129024146
PDGFD,11,103777914,104035107
PPP1R37,19,45594654,45651335
ZNF383,19,37708828,37734828
STX18,4,4417469,4544073
HSD11B2,16,67464555,67471456
DUSP4,8,29190581,29208185
TSPAN6,X,99883667,99894988
TCTEX1D1,1,67218142,67244470
MRPS21,1,150266289,150281414
ATF7IP,12,14518610,14651697
ARHGEF38,4,106473777,106616835
XRRA1,11,74518784,74660245
ARL6IP1,16,18802991,18813000
NSUN4,1,46805849,46830824
TLR6,4,38825336,38858438
CAV2,7,115927434,116148595
ACCS,11,44087475,44105772
PRSS35,6,84222194,84235423
ZNHIT1,7,100860949,100867471
FAM114A1,4,38869298,38947360
TMEM66,8,29920528,29940723
CHAD,17,48541857,48546327
SEPT3,22,42372276,42394225
PRPF3,1,150293925,150325671
HKR1,19,37803739,37860267
NKPD1,19,45653008,45663408
C16orf47,16,73160536,73178346
NLGN2,17,7308193,7323179
UBR2,6,42531800,42661242
SLC35B3,6,8413301,8435794
INSL5,1,67263424,67266939
PSMD7,16,74330673,74340186
SNAP91,6,84262599,84419410
TRAPPC6A,19,45666186,45681495
WDR78,1,67278568,67390570
ZNF816,19,53430388,53466164
ERMN,2,158175137,158184225
NPC1L1,7,44552134,44580914
MPP2,17,41952725,41987068
RSPH10B2,7,6793740,6838996
TMEM156,4,38968365,39034542
AQP2,12,50344524,50352664
ITIH5,10,7601232,7708961
MFAP2,1,17300997,17307330
MSX1,4,4861393,4865663
GINS4,8,41386725,41402565
LCNL1,9,139876356,139880862
AQP5,12,50355653,50359434
CYTL1,4,5016313,5021199
HNF1B,17,36046434,36105237
PDE6A,5,149237519,149324356
KLHL5,4,39046659,39128477
FSIP1,15,39892232,40075031
NPIPL2,16,74411156,74425978
FURIN,15,91411822,91426688
PDE6C,10,95372345,95425767
CNN2,19,1026212,1039068
SLCO5A1,8,70584568,70747299
AQP6,12,50360977,50370922
SH3GLB2,9,131769315,131790582
RBM11,21,15588451,15600693
GPR176,15,40091233,40213093
PROB1,5,138727635,138730885
SPATA24,5,138732252,138739777
BLOC1S3,19,45682003,45685059
TMEM189,20,48697663,48770335
ZNF527,19,37861963,37883968
CLEC18B,16,74442529,74455368
DHRS2,14,24099324,24114848
EIF2AK4,15,40226347,40327797
FAM192A,16,57186378,57220028
CHEK1,11,125495036,125546150
CALCOCO1,12,54104903,54121529
EXOC3L2,19,45715879,45737469
TNFAIP1,17,26662628,26674035
INTS12,4,106603784,106817143
POU5F1,HSCHR6_MHC_COX,31119738,31131037
RSAD1,17,48556161,48563336
ZNF321P,19,53431728,53466076
ERVV-1,19,53517174,53519375
C9orf62,9,138235095,138238408
ERVV-2,19,53547991,53554329
ZNF569,19,37902057,37960177
PPP1R26,9,138371648,138380739
CAMKMT,2,44589089,44999731
ZNF160,19,53569859,53606689
ATXN2,12,111890018,112037480
CLDN15,7,100875373,100882101
TPM1,15,63334831,63364114
RDM1,17,34245070,34257777
ZNF256,19,58452201,58459043
COPS2,15,49398268,49447858
WBP2NL,22,42394729,42454460
C19orf18,19,58469805,58485902
ZNF570,19,37958487,37976260
MYCBPAP,17,48585745,48608862
DHDDS,1,26758773,26797785
FAAH,1,46859937,46879520
CDK3,17,73996987,74002080
TBC1D26,17,15635561,15649476
SLC26A2,5,149340300,149373018
SRPX2,X,99899215,99926296
H1FX,3,129033615,129035120
GRAMD3,5,125695824,125832186
FES,15,91426925,91439006
TOLLIP,11,1295601,1330884
EFCAB12,3,129120164,129147494
RACGAP1,12,50370706,50426919
EVPL,17,74000583,74023533
TIGD6,5,149372681,149380730
TRAPPC11,4,184580420,184634745
DDI1,11,103907308,103909922
ZNF793,19,37997841,38039664
CAV1,7,116164839,116201233
NOP2,12,6666029,6677857
CASP12,11,104756445,104769397
AGPAT6,8,41434706,41482520
CEBPB,20,48807376,48809212
RPS6KB2,11,67195931,67202872
TBC1D3F,17,36283971,36294915
PTPN1,20,49126891,49201299
ZNF606,19,58488421,58514717
PTCD2,5,71616194,71656052
C9orf116,9,138387027,138393580
SUPT16H,14,21819631,21852425
HMGXB3,5,149379884,149432386
LRRC18,10,50117528,50143242
ZNF540,19,38042308,38104998
VSTM4,10,50226490,50323554
CYTIP,2,158271131,158345473
SRP68,17,74035184,74068734
FAM65C,20,49202645,49308065
ATP13A2,1,17312453,17338423
TMEM199,17,26684604,26708716
XPA,9,100437191,100459639
C6orf10,HSCHR6_MHC_DBB,32236325,32315209
FAM170B,10,50339199,50342053
MIER1,1,67390578,67454302
RSPRY1,16,57220049,57274387
DMBX1,1,46972668,46979898
HSPA13,21,15743436,15755805
RAB11B,19,8454865,8469318
ZNF571,19,38045684,38085673
CD47,3,107762145,107809872
SYTL4,X,99929488,99987110
GRIK3,1,37261128,37499730
ATP5G3,2,176040986,176049335
STK32B,4,5053169,5502725
ZFP30,19,38104650,38183238
PLCH1,3,155093369,155462856
BTNL2,HSCHR6_MHC_DBB,32336148,32350396
DNAJC18,5,138744279,138780180
OST4,2,27293340,27294641
TFE3,X,48886242,48901012
FRA10AC1,10,95427640,95462329
ATP6V0D1,16,67471917,67515140
LEPROTL1,8,29952914,30034724
CNTROB,17,7835419,7853236
OFCC1,6,9596343,10211841
MSH5,HSCHR6_MHC_SSTO,31697728,31720408
EMILIN1,2,27301435,27309271
PLBD1,12,14656595,14721283
CSF1R,5,149432854,149492935
IFT57,3,107879659,107941417
RPRD2,1,150335567,150449042
RPP14,3,58291974,58305816
NR1H4,12,100867486,100958191
MBOAT4,8,29989340,30002202
C12orf65,12,123717463,123742506
MBD4,3,129149787,129158878
DCTN6,8,30013813,30041156
NAGA,22,42454358,42466846
YWHAZ,8,101928753,101965616
FIS1,7,100882739,100895597
POLR3A,10,79729008,79789303
EMR2,19,14843205,14889353
DHRS4,14,24422795,24438488
ALOX15,17,4534197,4545589
SIX3,2,45168902,45173216
CCL23,17,34340096,34345005
SMG1,16,18816175,18937776
SH2D1A,X,123480194,123507005
FOXE1,9,100615536,100618986
RBPMS,8,30241944,30429778
C9orf156,9,100666771,100684852
C10orf128,10,50362773,50396630
MRPS2,9,138391830,138396519
HHLA2,3,108015376,108097132
ZNF781,19,38159755,38183216
KNCN,1,47011316,47017199
HK1,10,71029740,71161638
MSLNL,16,819428,833370
CKM,19,45809672,45826235
EPC1,10,32556679,32667726
CFB,HSCHR6_MHC_MANN,31952850,31957964
PARD6B,20,49348081,49373332
SIX2,2,45232300,45236569
ZSCAN1,19,58545400,58565999
ZNF607,19,38180785,38210691
GSTCD,4,106629935,106768885
ACSF3,16,89154783,89222254
MET,7,116312248,116438440
ZNF415,19,53611132,53636330
CCDC120,X,48916514,48927509
TENM1,X,123509753,124097666
ZACN,17,74068042,74079747
EBLN1,10,22498234,22498933
KLC3,19,45836692,45854778
ZBTB7A,19,4044362,4066943
CDK2AP1,12,123745528,123756881
BRSK2,11,1411129,1483919
GANC,15,42565431,42645864
ADORA2B,17,15848231,15879060
MKNK1,1,47023090,47082515
INPP5K,17,1397865,1420182
MYH15,3,108099216,108248169
DDX18,2,118572226,118589955
ZNF573,19,38226734,38307940
KHK,2,27309615,27323640
ZSWIM7,17,15879874,15903031
WDR19,4,39184024,39287430
FAM109B,22,42470255,42475445
TARS2,1,150459887,150480078
UEVLD,11,18552748,18610294
BCAS4,20,49411431,49493714
CASP4,11,104813593,104840163
EPN3,17,48609904,48621111
ZNF629,16,30789778,30798523
HLA-DRA,HSCHR6_MHC_DBB,32382335,32387545
HMGN2,1,26798941,26802463
CHD8,14,21853353,21924285
PRDM14,8,70963886,70983928
BCL7C,16,30844947,30906281
TCF21,6,134210276,134216691
ERCC2,19,45853095,45874176
WDR87,19,38375463,38397317
C22orf32,22,42475695,42520105
RPUSD1,16,834974,838397
ZC3H12A,1,37940153,37949978
NDUFA6,22,42481529,42486959
NCOA2,8,71021997,71316040
CCDC93,2,118673054,118771709
RABL5,7,100956975,100965104
RPS6KA1,1,26856252,26901521
EXT2,11,44117099,44266979
SRBD1,2,45615819,45839304
CTF1,16,30907928,30914881
PRAF2,X,48928820,48931733
MEAF6,1,37958176,37980375
SIPA1L3,19,38397868,38699012
SAMSN1,21,15857549,15955723
MAP2K2,19,4090319,4124126
FBXL19,16,30934376,30960104
KIAA1715,2,176788620,176867567
NKX6-3,8,41502697,41508855
ADNP,20,49505585,49547958
CSTF2,X,100075384,100095921
DDX56,7,44605016,44614650
MYT1L,2,1792885,2335032
C4orf6,4,5526296,5529528
ACVR1C,2,158388888,158485517
YARS2,12,32880424,32908836
CYP2D6,22,42522501,42526908
CHTF18,16,838046,850737
GUCY2C,12,14765576,14849519
GLG1,16,74485856,74641012
DCAF12L2,X,125298337,125300080
PRPH2,6,42664340,42690312
HLA-DRB1,HSCHR6_MHC_DBB,32516731,32550833
PKP2,12,32943679,33049774
EVC2,4,5544499,5711275
SDHB,1,17345217,17380665
DPF1,19,38701646,38720354
ANK1,8,41510739,41754280
FAM215A,17,41994576,41995326
TBC1D3,17,36337711,36358166
SPATA20,17,48620419,48633213
YWHAZP3,10,23425852,23426590
CCDC7,10,32735068,32863501
PPY,17,42018172,42019836
GALR2,17,74070875,74073622
PRINS,10,24536051,24544975
NRIP1,21,16333556,16437321
EXOC7,17,74077098,74117657
NAA10,X,153194695,153200676
TBPL1,6,134273308,134308637
PELP1,17,4574679,4607632
ECSCR,5,138784245,138842328
CCZ1B,7,6836440,6866401
HLA-DQA1,HSCHR6_MHC_DBB,32574291,32596644
SEBOX,17,26691290,26697373
ZNF135,19,58570607,58597677
C10orf71,10,50507187,50535537
LCN1,9,138413284,138418378
FAM73B,9,131798900,131834361
SRP14,15,40327940,40331389
ARL2BP,16,57279010,57287516
TMEM173,5,138855119,138862520
PADI2,1,17393256,17445948
STK19,6,31938868,31949228
AGRP,16,67516474,67517716
PYY,17,42030106,42081837
BMF,15,40380091,40401093
WDR45,X,48929385,48958108
DRGX,10,50572237,50603986
FAM65A,16,67552321,67580689
MSH5-SAPCD1,HSCHR6_MHC_SSTO,31715897,31722583
GAS2L3,12,100967461,101022064
NAGS,17,42081914,42086431
HIST4H4,12,14920933,14924065
KIAA1524,3,108268833,108308491
TBCC,6,42712219,42714558
ERCC6,10,50663414,50747584
PPP1R13L,19,45882892,45909607
CDH15,16,89238175,89261900
TNXB,HSCHR6_MHC_MANN,32072022,32105429
C3orf33,3,155480401,155524140
KIAA0240,6,42714696,42836296
HEATR4,14,73945189,74025651
ACVR1,2,158592958,158732374
SPINT2,19,38734675,38783254
GTF2E2,8,30435835,30515768
CCK,3,42299317,42307699
DCAF12L1,X,125683369,125686834
ZNF706,8,102190106,102218421
PDGFRB,5,149493400,149535423
ABCA7,19,1040102,1065571
CXorf64,X,125953747,125955769
IFT122,3,129158968,129239198
ACTRT1,X,127184943,127186382
SLC2A12,6,134309835,134373774
TMEM101,17,42088556,42101314
SMARCA1,X,128580480,128657477
LINC00583,9,13927970,13945609
CHD4,12,6679249,6716642
MARCH2,19,8478154,8503901
NFIB,9,14081842,14398982
USP25,21,17102344,17252377
RBM48,7,92158087,92167319
ACRV1,11,125541417,125551018
BUB1B,15,40453224,40513337
TFAP2A,6,10393419,10419892
ZNF778,16,89284118,89295363
GPR158-AS1,10,25447001,25465205
PLLP,16,57290004,57318599
OBP2A,9,138437985,138441815
RENBP,X,153200716,153210232
SPEF2,5,35617946,35814713
H2AFJ,12,14927270,14930936
ALDH7A1,5,125877533,125931110
LGI1,10,95517566,95557916
CCL22,16,57392684,57400102
PADI1,1,17531621,17572500
ZSCAN18,19,58595205,58629794
ZBTB42,14,105266933,105271049
SLC6A16,19,49792895,49828482
WBP11,12,14939410,14956474
KIAA0284,14,105331617,105363089
TTC19,17,15902694,15948336
EVX2,2,176942200,176948641
ECM1,1,150480538,150486265
ZNF366,5,71738479,71803554
PADI3,1,17575593,17610728
SLC35D1,1,67465015,67519782
ALX4,11,44281994,44331716
PPP1R14A,19,38741877,38747231
CX3CL1,16,57406370,57418960
HOXD13,2,176957619,176960666
DZIP3,3,108308529,108413693
CD82,11,44585977,44641913
SARM1,17,26691378,26728065
NPNT,4,106815932,106925184
CCL17,16,57438679,57449974
TNPO1,5,72112139,72212560
TRAM1,8,71485677,71520622
PADI4,1,17634690,17690499
CYB5R2,11,7686331,7698453
SLC33A1,3,155544305,155572218
GRHL2,8,102504660,102681954
SAPCD1,HSCHR6_MHC_SSTO,31720531,31722583
DPM1,20,49551404,49575092
CIAPIN1,16,57462081,57481440
PTPRCAP,11,67202981,67205538
C1orf141,1,67557859,67600639
CORO1B,11,67205519,67211292
STOX2,4,184774584,184944679
VWA7,HSCHR6_MHC_SSTO,31723322,31735062
YIF1B,19,38795753,38807913
GSR,8,30535583,30585443
RPS24,10,79793518,79816570
VWA5B2,3,183948217,183960117
LSM12,17,42112003,42144987
ITIH2,10,7745232,7791483
UPP2,2,158851691,158992478
CD3EAP,19,45909467,45914024
G6PC3,17,42148103,42153709
HOXD12,2,176964458,176966408
SYT10,12,33527173,33592754
SBNO1,12,123773656,123834988
ERCC1,19,45910591,45982086
PRRT1,HSCHR6_MHC_MANN,32155583,32161597
SGK1,6,134490384,134639250
HOXD11,2,176968944,176974722
ORAI3,16,30960387,30967782
NOX1,X,100098313,100129334
UBE2D2,5,138906016,139008018
WISP3,6,112375275,112392171
GALK2,15,49447853,49660066
RFC1,4,39289076,39367995
RAB2B,14,21927179,21945132
CAPZA2,7,116451124,116559315
CYP2D7P1,22,42536214,42540576
FOXJ1,17,74132414,74137380
RPL7L1,6,42847356,42857663
ALG10,12,34175216,34182629
IL23R,1,67632083,67725662
RNF157,17,74138534,74236454
FAM133B,7,92190107,92219708
CD37,19,49838428,49846592
ACOT1,14,74003818,74010498
MOCS3,20,49575363,49577820
ANO4,12,101111304,101522419
KCNG1,20,49620193,49639666
GMPS,3,155588325,155658457
APOM,HSCHR6_MHC_MCF,31696476,31702270
OVCH2,11,7710669,7727968
SPTY2D1,11,18627948,18656338
EMID2,7,101006101,101202304
SETD1A,16,30968615,30996437
TCF20,22,42556019,42739622
TOX4,14,21944756,21967319
MAN2A2,15,91445448,91465814
C12orf60,12,14956506,15059520
HLA-DQB1,HSCHR6_MHC_DBB,32602484,32612425
DHRS4L2,14,24439148,24475617
ALG10B,12,38710380,38717784
C19orf33,19,38794801,38795649
C12orf69,12,14957584,14967116
NFATC2,20,50003494,50179168
ART4,12,14978503,14996429
INSIG2,2,118846028,118868573
ASIC1,12,50451331,50477394
HEMGN,9,100689073,100707138
CPNE8,12,39040624,39301232
MGP,12,15034115,15038860
HSD3B7,16,30996519,31000473
ADAMTSL4,1,150521884,150533413
TMEM30C,3,99904531,99913035
KCNK6,19,38810484,38819660
RCC2,1,17733256,17766220
CCDC148,2,159027593,159313265
PGBD3,10,50723151,50732273
ZNF329,19,58637619,58666477
EN1,2,119599766,119605254
TMED4,7,44617493,44621886
HLA-C,HSCHR6_MHC_COX,31227577,31230958
CATSPERG,19,38826415,38861589
MARCO,2,119699742,119752236
PLD4,14,105391153,105399574
CASP5,11,104864962,104893895
ERP27,12,15066969,15092016
PPP2CB,8,30631973,30671830
ZNF274,19,58694396,58724928
ALG3,3,183960089,183967336
XKRX,X,100168431,100184422
HOXD10,2,176973518,176984670
NFAM1,22,42776416,42828401
MOB2,11,1490687,1522477
HCFC1,X,153213004,153237258
C6orf226,6,42858005,42858554
PATE1,11,125616188,125619743
ARHGEF10L,1,17866330,18024369
ARID1A,1,27022524,27108595
PTCRA,6,42883727,42893573
HOXD9,2,176987088,176989853
LACTB2,8,71547553,71581409
CAPN3,15,42640301,42704516
RFWD3,16,74655292,74700779
CDK6,7,92234235,92465908
ERCC6L,X,71424510,71458897
